Order Date,Order ID,Customer ID,Product,Category,Region,Channel,Units,Revenue,Generation Persona
2023-10-12,ORD-102666,CUS-0285,Premium Set,Premium,Hong Kong,Website,3,330.1,inactive_low_value
2023-11-22,ORD-102446,CUS-0239,Everyday Set,Core,Hong Kong,Website,2,306.09,lapsed_high_value
2023-11-27,ORD-102620,CUS-0263,Premium Set,Premium,Hong Kong,Website,4,420.92,inactive_low_value
2023-11-30,ORD-102677,CUS-0291,Starter Kit,Starter,International,Website,1,24.25,inactive_low_value
2023-12-02,ORD-102349,CUS-0231,Everyday Set,Core,New Territories,Website,2,250.14,lapsed_high_value
2023-12-02,ORD-102447,CUS-0239,Premium Set,Premium,Hong Kong,Mobile App,3,1115.07,lapsed_high_value
2023-12-04,ORD-102221,CUS-0221,Everyday Set,Core,New Territories,Mobile App,1,118.43,lapsed_high_value
2023-12-06,ORD-102320,CUS-0229,Premium Set,Premium,New Territories,Website,2,500.14,lapsed_high_value
2023-12-06,ORD-102448,CUS-0239,Premium Set,Premium,Hong Kong,Website,1,327.32,lapsed_high_value
2023-12-19,ORD-102604,CUS-0258,Premium Set,Premium,Kowloon,Website,1,145.65,inactive_low_value
2023-12-20,ORD-102066,CUS-0209,Refill Pack,Consumables,Hong Kong,Marketplace,3,169.75,lapsed_high_value
2023-12-25,ORD-102580,CUS-0250,Everyday Set,Core,New Territories,Website,4,539.92,lapsed_high_value
2023-12-26,RET-102605,CUS-0258,Premium Set,Premium,Kowloon,Return,-1,-145.65,inactive_low_value
2023-12-29,ORD-102680,CUS-0292,Everyday Set,Core,New Territories,Website,2,129.53,inactive_low_value
2024-01-02,ORD-102614,CUS-0261,Premium Set,Premium,International,Website,2,182.75,inactive_low_value
2024-01-03,ORD-102668,CUS-0286,Everyday Set,Core,Kowloon,Website,4,262.95,inactive_low_value
2024-01-04,ORD-102321,CUS-0229,Refill Pack,Consumables,New Territories,Marketplace,3,130.98,lapsed_high_value
2024-01-04,ORD-102469,CUS-0241,Everyday Set,Core,New Territories,Marketplace,2,193.66,lapsed_high_value
2024-01-08,ORD-102470,CUS-0241,Refill Pack,Consumables,New Territories,Website,3,126.49,lapsed_high_value
2024-01-14,ORD-102537,CUS-0246,Refill Pack,Consumables,International,Marketplace,3,126.24,lapsed_high_value
2024-01-15,ORD-102471,CUS-0241,Premium Set,Premium,New Territories,Website,3,578.45,lapsed_high_value
2024-01-15,ORD-102472,CUS-0241,Everyday Set,Core,New Territories,Mobile App,2,231.46,lapsed_high_value
2024-01-16,ORD-102571,CUS-0249,Everyday Set,Core,Hong Kong,Mobile App,2,210.33,lapsed_high_value
